City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Albany,US,2021-11-01 00:58:29,42.6001,-73.9662,55.74,80,100,10.38,overcast clouds,0,0
1,Nikolskoye,RU,2021-11-01 00:58:29,59.7035,30.7861,48.02,88,98,6.8,overcast clouds,0,0
2,Hambantota,LK,2021-11-01 00:58:29,6.1241,81.1185,75.54,100,40,0.0,scattered clouds,0,0
3,Provideniya,RU,2021-11-01 00:58:30,64.3833,-173.3,19.51,58,0,15.66,clear sky,0,0
4,Bluff,NZ,2021-11-01 00:58:30,-46.6,168.3333,54.3,75,100,29.24,overcast clouds,0,0
5,Mataura,NZ,2021-11-01 00:58:30,-46.1927,168.8643,61.63,49,100,10.96,overcast clouds,0,0
6,Busselton,AU,2021-11-01 00:58:31,-33.65,115.3333,60.04,62,94,18.41,overcast clouds,0,0
7,Bredasdorp,ZA,2021-11-01 00:58:31,-34.5322,20.0403,61.92,72,100,5.75,overcast clouds,0,0
8,Sitka,US,2021-11-01 00:53:40,57.0531,-135.33,44.82,73,100,7.18,overcast clouds,0,0
9,Jamestown,US,2021-11-01 00:56:27,42.097,-79.2353,52.52,83,100,10.0,overcast clouds,0,0
10,Khatanga,RU,2021-11-01 00:58:32,71.9667,102.5,5.4,96,100,11.9,light snow,0,0
11,Kruisfontein,ZA,2021-11-01 00:57:05,-34.0033,24.7314,61.88,84,100,11.81,overcast clouds,0,0
12,Butaritari,KI,2021-11-01 00:58:32,3.0707,172.7902,81.81,76,1,11.54,light rain,0,0
13,Ushuaia,AR,2021-11-01 00:57:15,-54.8,-68.3,46.06,71,0,6.91,clear sky,0,0
14,Arcachon,FR,2021-11-01 00:58:33,44.5875,-1.0519,59.05,82,75,6.91,broken clouds,0,0
15,Rocha,UY,2021-11-01 00:56:39,-34.4833,-54.3333,61.39,99,89,4.16,overcast clouds,0,0
