City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.3333,54.01,88,99,10.49,NZ,2021-10-26 01:26:38
1,Mataura,-46.1927,168.8643,69.13,58,83,2.95,NZ,2021-10-26 01:25:58
2,Faanui,-16.4833,-151.75,73.92,92,100,6.93,PF,2021-10-26 01:25:54
3,Qaanaaq,77.484,-69.3632,4.21,62,100,14.85,GL,2021-10-26 01:26:28
4,Leningradskiy,69.3833,178.4167,9.73,94,100,16.28,RU,2021-10-26 01:27:07
5,Torbay,47.6666,-52.7314,40.26,83,90,6.91,CA,2021-10-26 01:26:36
6,Solnechnyy,50.7214,136.6319,44.87,62,91,5.46,RU,2021-10-26 01:28:23
7,Avarua,-21.2078,-159.775,77.05,61,75,11.5,CK,2021-10-26 01:26:31
8,Sande,53.5049,8.0142,53.02,95,97,12.5,DE,2021-10-26 01:31:11
9,Tiksi,71.6872,128.8694,0.72,97,99,4.45,RU,2021-10-26 01:27:09
10,Poum,-20.2333,164.0167,76.32,68,55,11.01,NC,2021-10-26 01:31:11
11,Ushuaia,-54.8,-68.3,33.46,86,20,8.05,AR,2021-10-26 01:25:57
12,Castro,-24.7911,-50.0119,57.06,95,8,3.33,BR,2021-10-26 01:25:16
13,Belogorsk,50.9158,128.4611,44.11,57,92,3.85,RU,2021-10-26 01:31:12
14,Keti Bandar,24.1447,67.4497,75.97,41,0,9.42,PK,2021-10-26 01:31:12
15,Tazovskiy,67.4667,78.7,13.87,93,56,7.96,RU,2021-10-26 01:31:12
16,Barrow,71.2906,-156.7887,24.82,86,90,14.97,US,2021-10-26 01:26:03
17,Tongzi,28.7829,105.0877,57.56,93,100,4.94,CN,2021-10-26 01:31:13
18,Punta Arenas,-53.15,-70.9167,35.71,80,75,3.44,CL,2021-10-26 01:21:29
19,Nicolas Bravo,18.45,-88.9167,75.56,98,17,2.48,MX,2021-10-26 01:31:14
20,Puerto Ayora,-0.7393,-90.3518,68.56,94,92,1.01,EC,2021-10-26 01:25:59
21,Brae,60.3964,-1.353,48.11,82,56,15.1,GB,2021-10-26 01:31:14
22,Rikitea,-23.1203,-134.9692,75.63,71,100,18.14,PF,2021-10-26 01:25:53
23,Wanaka,-44.7,169.15,66.11,59,37,4.0,NZ,2021-10-26 01:31:15
24,Busselton,-33.65,115.3333,53.04,65,98,1.07,AU,2021-10-26 01:26:15
25,Hilo,19.7297,-155.09,78.53,80,90,13.8,US,2021-10-26 01:22:16
26,Cape Town,-33.9258,18.4232,63.88,64,0,3.0,ZA,2021-10-26 01:22:26
27,Vaini,-21.2,-175.2,80.76,74,20,11.5,TO,2021-10-26 01:26:26
28,Georgetown,5.4112,100.3354,80.89,86,20,4.61,MY,2021-10-26 01:21:47
29,Kaitangata,-46.2817,169.8464,56.12,78,100,7.54,NZ,2021-10-26 01:26:01
30,Abu Dhabi,24.4667,54.3667,78.82,73,0,2.3,AE,2021-10-26 01:30:41
31,Kodiak,57.79,-152.4072,42.31,81,90,9.22,US,2021-10-26 01:26:51
32,Gualeguay,-33.1416,-59.3097,67.21,43,0,6.22,AR,2021-10-26 01:31:16
33,Jackson,42.4165,-122.8345,56.16,77,90,8.05,US,2021-10-26 01:27:00
34,Decatur,39.8403,-88.9548,51.66,81,1,11.5,US,2021-10-26 01:28:18
35,Tacuati,-23.45,-56.5833,65.59,70,100,2.35,PY,2021-10-26 01:31:17
36,Duma,34.7653,108.135,46.42,79,100,5.57,CN,2021-10-26 01:31:18
37,Albany,42.6001,-73.9662,56.75,90,100,4.45,US,2021-10-26 01:26:22
38,Hermanus,-34.4187,19.2345,61.81,86,100,12.68,ZA,2021-10-26 01:26:44
39,Ribeira Grande,38.5167,-28.7,68.85,75,34,20.69,PT,2021-10-26 01:27:27
40,Dikson,73.5069,80.5464,13.68,84,100,15.75,RU,2021-10-26 01:26:16
41,Maicao,11.3832,-72.2432,79.12,82,2,10.2,CO,2021-10-26 01:31:19
42,Tumbagaan,5.3656,120.3139,84.18,68,98,2.8,PH,2021-10-26 01:31:19
43,Kruisfontein,-34.0033,24.7314,58.89,95,39,5.08,ZA,2021-10-26 01:27:31
44,Geraldton,-28.7667,114.6,61.21,63,90,11.5,AU,2021-10-26 01:26:15
45,New Norfolk,-42.7826,147.0587,58.71,45,2,1.99,AU,2021-10-26 01:26:20
46,La Union,-5.4,-80.75,68.59,67,100,14.79,PE,2021-10-26 01:31:20
47,Manokwari,-0.8667,134.0833,84.78,66,3,9.51,ID,2021-10-26 01:31:20
48,Souillac,-20.5167,57.5167,73.78,83,40,13.8,MU,2021-10-26 01:27:03
49,Marawi,7.9986,124.2928,73.65,65,99,3.74,PH,2021-10-26 01:31:21
50,Grindavik,63.8424,-22.4338,37.35,93,40,4.61,IS,2021-10-26 01:28:31
51,Escarcega,18.6089,-90.7454,80.11,79,100,3.76,MX,2021-10-26 01:31:22
52,Agen,44.2,0.6333,56.52,93,20,2.3,FR,2021-10-26 01:30:35
53,Yellowknife,62.456,-114.3525,42.42,90,90,16.11,CA,2021-10-26 01:27:04
54,Tuktoyaktuk,69.4541,-133.0374,30.2,100,90,8.05,CA,2021-10-26 01:25:05
55,Teeli,51.0333,90.2333,35.13,63,40,0.18,RU,2021-10-26 01:31:23
56,Evensk,61.95,159.2333,19.13,76,1,3.78,RU,2021-10-26 01:31:23
57,Robertsport,6.7533,-11.3686,78.37,84,100,7.61,LR,2021-10-26 01:31:23
58,Zeya,53.75,127.2667,40.68,74,100,1.63,RU,2021-10-26 01:31:24
59,Katubao,5.8892,124.8294,86.45,66,54,1.79,PH,2021-10-26 01:31:24
60,Norman Wells,65.282,-126.8329,23.04,93,90,5.75,CA,2021-10-26 01:27:58
61,Cockburn Town,21.4612,-71.1419,82.8,79,53,17.58,TC,2021-10-26 01:31:25
62,Phalaborwa,-23.943,31.1411,61.84,84,100,3.36,ZA,2021-10-26 01:31:25
63,Port Alfred,-33.5906,26.891,62.01,87,10,14.34,ZA,2021-10-26 01:26:13
64,East London,-33.0153,27.9116,63.45,82,100,8.48,ZA,2021-10-26 01:26:19
65,Minot,48.2325,-101.2963,46.62,71,1,20.71,US,2021-10-26 01:28:31
66,Salalah,17.0151,54.0924,73.49,64,0,2.3,OM,2021-10-26 01:28:29
67,Tibati,6.4667,12.6333,67.21,94,100,1.34,CM,2021-10-26 01:31:26
68,Kerouane,9.2667,-9.0167,70.41,94,97,2.68,GN,2021-10-26 01:31:26
69,Saskylakh,71.9167,114.0833,-1.52,98,100,2.39,RU,2021-10-26 01:26:17
70,Nikolskoye,59.7035,30.7861,44.4,89,100,9.48,RU,2021-10-26 01:26:29
71,Thompson,55.7435,-97.8558,35.76,80,20,3.44,CA,2021-10-26 01:24:05
72,Hamilton,39.1834,-84.5333,53.89,92,90,3.0,US,2021-10-26 01:27:50
73,Pevek,69.7008,170.3133,1.51,93,100,3.71,RU,2021-10-26 01:26:20
74,Ilulissat,69.2167,-51.1,10.42,61,0,4.61,GL,2021-10-26 01:29:21
75,Mirabad,30.4362,61.8383,61.74,25,0,7.76,AF,2021-10-26 01:31:27
76,San Simon,14.9996,120.7808,87.12,63,83,9.24,PH,2021-10-26 01:31:28
77,Atuona,-9.8,-139.0333,78.1,72,25,17.11,PF,2021-10-26 01:26:01
78,Carnarvon,-24.8667,113.6333,66.27,55,75,14.97,AU,2021-10-26 01:26:14
79,Katsuura,35.1333,140.3,62.71,88,100,28.1,JP,2021-10-26 01:28:39
80,Poli,-3.3333,36.8,59.02,90,82,4.25,TZ,2021-10-26 01:31:29
81,Kavieng,-2.5744,150.7967,84.02,69,43,4.81,PG,2021-10-26 01:26:38
82,General Roca,-39.0333,-67.5833,70.2,41,100,26.46,AR,2021-10-26 01:31:29
83,Aksu,41.1231,80.2644,44.24,47,6,2.55,CN,2021-10-26 01:26:27
84,Ballina,-28.8667,153.5667,75.38,75,75,16.11,AU,2021-10-26 01:31:30
85,Fuxin,42.0156,121.6589,57.24,30,19,13.13,CN,2021-10-26 01:31:31
86,Esperance,-33.8667,121.9,55.24,63,59,5.7,AU,2021-10-26 01:26:21
87,Sao Felix Do Xingu,-6.6447,-51.995,72.52,95,62,0.81,BR,2021-10-26 01:31:31
88,Venezuela,8.0,-66.0,78.49,79,84,14.41,VE,2021-10-26 01:31:31
89,Puerto Escondido,15.85,-97.0667,83.23,65,75,4.61,MX,2021-10-26 01:31:32
90,Kapaa,22.0752,-159.319,84.18,80,40,1.99,US,2021-10-26 01:22:58
91,Hami,42.8,93.45,49.32,31,0,6.87,CN,2021-10-26 01:31:32
92,Port Macquarie,-31.4333,152.9167,71.89,59,60,7.4,AU,2021-10-26 01:28:43
93,Khatanga,71.9667,102.5,4.32,96,100,5.93,RU,2021-10-26 01:25:59
94,Hobart,-42.8794,147.3294,59.05,57,75,1.01,AU,2021-10-26 01:25:31
95,Port Lincoln,-34.7333,135.8667,72.68,39,100,17.05,AU,2021-10-26 01:28:20
96,Ambanja,-13.6833,48.45,72.03,88,26,3.47,MG,2021-10-26 01:31:34
97,Puerto Carreno,6.189,-67.4859,78.94,80,100,4.81,CO,2021-10-26 01:31:34
98,Port-Gentil,-0.7193,8.7815,76.12,88,100,6.02,GA,2021-10-26 01:31:34
99,Bonthe,7.5264,-12.505,76.96,88,100,6.6,SL,2021-10-26 01:31:35
100,Osa,57.2829,55.4567,25.47,85,21,6.46,RU,2021-10-26 01:31:35
101,Alness,57.696,-4.2551,50.23,92,100,5.57,GB,2021-10-26 01:31:35
102,Gisors,49.2818,1.7801,51.94,94,6,6.38,FR,2021-10-26 01:31:36
103,Tiarei,-17.5333,-149.3333,80.62,74,98,5.17,PF,2021-10-26 01:31:36
104,Lavrentiya,65.5833,-171.0,17.69,76,100,9.35,RU,2021-10-26 01:31:36
105,Jamestown,42.097,-79.2353,56.84,91,75,3.0,US,2021-10-26 01:26:44
106,Hasaki,35.7333,140.8333,61.29,85,100,34.56,JP,2021-10-26 01:27:19
107,Oktyabrskiy,54.4815,53.471,29.16,74,100,5.1,RU,2021-10-26 01:31:37
108,Bridlington,54.0831,-0.1919,46.89,85,60,11.43,GB,2021-10-26 01:31:38
109,Lebu,-37.6167,-73.65,52.48,93,13,13.82,CL,2021-10-26 01:25:59
110,Hay River,60.8156,-115.7999,42.78,81,75,9.22,CA,2021-10-26 01:28:36
